date,governorate,n_infected,n_recovered,n_dead
"20:49, 11 April 2020",Béja,3,TBA,0
"20:49, 11 April 2020",Kasserine,2,TBA,0
"20:49, 11 April 2020",Touzeur,1,TBA,0
"21:26, 11 April 2020",Tunis,159,TBA,3
"21:26, 11 April 2020",Ariana,82,TBA,3
"21:26, 11 April 2020",Ben Arous,66,TBA,1
"21:26, 11 April 2020",Médenine,63,TBA,2
"21:42, 11 April 2020",Tunis,159,TBA,3
"21:26, 11 April 2020",Sousse,61,TBA,4
"21:26, 11 April 2020",Kébili,40,TBA,0
"21:26, 11 April 2020",Manouba,34,TBA,4
"21:42, 11 April 2020",Ariana,82,TBA,3
"21:42, 11 April 2020",Ben Arous,66,TBA,1
"21:42, 11 April 2020",Médenine,63,TBA,2
"21:26, 11 April 2020",Monastir,34,TBA,0
"21:26, 11 April 2020",Sfax,31,TBA,5
"21:26, 11 April 2020",Tataouine,19,TBA,1
"21:42, 11 April 2020",Sousse,61,TBA,4
"21:26, 11 April 2020",Bizerte,17,TBA,1
"21:26, 11 April 2020",Gafsa,16,TBA,0
"21:26, 11 April 2020",Nabeul,13,TBA,1
"21:42, 11 April 2020",Kébili,40,TBA,0
"21:42, 11 April 2020",Manouba,34,TBA,4
"21:42, 11 April 2020",Monastir,34,TBA,0
"21:26, 11 April 2020",Gabès,13,TBA,0
"21:26, 11 April 2020",Mahdia,12,TBA,1
"21:42, 11 April 2020",Sfax,31,TBA,5
"21:42, 11 April 2020",Tataouine,19,TBA,1
"21:26, 11 April 2020",Kairouan,6,TBA,0
"21:26, 11 April 2020",Kef,5,TBA,1
"21:26, 11 April 2020",Sidi Bouzid,5,TBA,1
"21:42, 11 April 2020",Bizerte,17,TBA,1
"21:42, 11 April 2020",Gafsa,16,TBA,0
"21:42, 11 April 2020",Nabeul,13,TBA,1
"21:26, 11 April 2020",Zaghouan,3,TBA,0
"21:26, 11 April 2020",Béja,3,TBA,0
"21:42, 11 April 2020",Gabès,13,TBA,0
"21:42, 11 April 2020",Mahdia,12,TBA,1
"21:26, 11 April 2020",Kasserine,2,TBA,0
"21:26, 11 April 2020",Touzeur,1,TBA,0
"21:42, 11 April 2020",Kairouan,6,TBA,0
"21:42, 11 April 2020",Kef,5,TBA,1
"21:42, 11 April 2020",Sidi Bouzid,5,TBA,1
"21:42, 11 April 2020",Zaghouan,3,TBA,0
"21:42, 11 April 2020",Béja,3,TBA,0
"21:42, 11 April 2020",Kasserine,2,TBA,0
"21:42, 11 April 2020",Touzeur,1,TBA,0
"21:55, 11 April 2020",Tunis,159,TBA,3
"21:55, 11 April 2020",Ariana,82,TBA,3
"21:55, 11 April 2020",Ben Arous,66,TBA,1
"21:55, 11 April 2020",Médenine,63,TBA,2
"21:55, 11 April 2020",Sousse,61,TBA,4
"21:55, 11 April 2020",Kébili,40,TBA,0
"21:55, 11 April 2020",Manouba,34,TBA,4
"21:55, 11 April 2020",Monastir,34,TBA,0
"21:55, 11 April 2020",Sfax,31,TBA,5
"21:55, 11 April 2020",Tataouine,19,TBA,1
"21:55, 11 April 2020",Bizerte,17,TBA,1
"21:55, 11 April 2020",Gafsa,16,TBA,0
"21:55, 11 April 2020",Nabeul,13,TBA,1
"21:55, 11 April 2020",Gabès,13,TBA,0
"21:55, 11 April 2020",Mahdia,12,TBA,1
"21:55, 11 April 2020",Kairouan,6,TBA,0
"21:55, 11 April 2020",Kef,5,TBA,1
"21:52, 11 April 2020",Tunis,159,TBA,3
"21:55, 11 April 2020",Sidi Bouzid,5,TBA,1
"21:55, 11 April 2020",Zaghouan,3,TBA,0
"21:52, 11 April 2020",Ariana,82,TBA,3
"21:52, 11 April 2020",Ben Arous,66,TBA,1
"21:55, 11 April 2020",Béja,3,TBA,0
"21:55, 11 April 2020",Kasserine,2,TBA,0
"21:55, 11 April 2020",Touzeur,1,TBA,0
"21:52, 11 April 2020",Médenine,63,TBA,2
"21:52, 11 April 2020",Sousse,61,TBA,4
"21:52, 11 April 2020",Kébili,40,TBA,0
"21:52, 11 April 2020",Manouba,34,TBA,4
"21:52, 11 April 2020",Monastir,34,TBA,0
"21:52, 11 April 2020",Sfax,31,TBA,5
"21:52, 11 April 2020",Tataouine,19,TBA,1
"21:52, 11 April 2020",Bizerte,17,TBA,1
"21:52, 11 April 2020",Gafsa,16,TBA,0
"21:52, 11 April 2020",Nabeul,13,TBA,1
"21:52, 11 April 2020",Gabès,13,TBA,0
"21:52, 11 April 2020",Mahdia,12,TBA,1
"21:52, 11 April 2020",Kairouan,6,TBA,0
"21:52, 11 April 2020",Kef,5,TBA,1
"21:52, 11 April 2020",Sidi Bouzid,5,TBA,1
"21:52, 11 April 2020",Zaghouan,3,TBA,0
"21:52, 11 April 2020",Béja,3,TBA,0
"21:52, 11 April 2020",Kasserine,2,TBA,0
"21:52, 11 April 2020",Touzeur,1,TBA,0
"22:13, 11 April 2020",Tunis,159,TBA,3
"22:13, 11 April 2020",Ariana,82,TBA,3
"22:13, 11 April 2020",Ben Arous,66,TBA,1
"22:13, 11 April 2020",Médenine,63,TBA,2
"22:13, 11 April 2020",Sousse,61,TBA,4
"22:13, 11 April 2020",Kébili,40,TBA,0
"22:13, 11 April 2020",Manouba,34,TBA,4
"22:13, 11 April 2020",Monastir,34,TBA,0
"22:28, 11 April 2020",Tunis,159,TBA,3
"22:13, 11 April 2020",Sfax,31,TBA,5
"22:13, 11 April 2020",Tataouine,19,TBA,1
"22:28, 11 April 2020",Ariana,82,TBA,3
"22:28, 11 April 2020",Ben Arous,66,TBA,1
"22:28, 11 April 2020",Médenine,63,TBA,2
"22:13, 11 April 2020",Bizerte,17,TBA,1
"22:13, 11 April 2020",Gafsa,16,TBA,0
"22:28, 11 April 2020",Sousse,61,TBA,4
"22:28, 11 April 2020",Kébili,40,TBA,0
"22:13, 11 April 2020",Nabeul,13,TBA,1
"22:13, 11 April 2020",Gabès,13,TBA,0
"22:28, 11 April 2020",Manouba,34,TBA,4
"22:28, 11 April 2020",Monastir,34,TBA,0
"22:28, 11 April 2020",Sfax,31,TBA,5
"22:13, 11 April 2020",Mahdia,12,TBA,1
"22:13, 11 April 2020",Kairouan,6,TBA,0
"22:13, 11 April 2020",Kef,5,TBA,1
"22:28, 11 April 2020",Tataouine,19,1,1
"22:28, 11 April 2020",Bizerte,17,TBA,1
"22:28, 11 April 2020",Gafsa,16,1,0
"22:13, 11 April 2020",Sidi Bouzid,5,TBA,1
"22:13, 11 April 2020",Zaghouan,3,TBA,0
"22:28, 11 April 2020",Nabeul,13,TBA,1
"22:28, 11 April 2020",Gabès,13,TBA,0
"22:13, 11 April 2020",Béja,3,TBA,0
"22:13, 11 April 2020",Kasserine,2,TBA,0
"22:13, 11 April 2020",Touzeur,1,TBA,0
"22:28, 11 April 2020",Mahdia,12,TBA,1
"22:28, 11 April 2020",Kairouan,6,1,0
"22:28, 11 April 2020",Kef,5,TBA,1
"23:23, 11 April 2020",Tunis,159,TBA,3
"22:28, 11 April 2020",Sidi Bouzid,5,TBA,1
"22:28, 11 April 2020",Zaghouan,3,TBA,0
"23:23, 11 April 2020",Ariana,81,TBA,3
"23:23, 11 April 2020",Ben Arous,65,TBA,1
"22:28, 11 April 2020",Béja,3,TBA,0
"22:28, 11 April 2020",Kasserine,2,TBA,0
"23:23, 11 April 2020",Médenine,62,TBA,2
"23:23, 11 April 2020",Sousse,56,TBA,4
"22:28, 11 April 2020",Touzeur,1,TBA,0
"23:23, 11 April 2020",Kébili,40,TBA,0
"23:23, 11 April 2020",Monastir,34,TBA,0
"23:23, 11 April 2020",Manouba,32,TBA,2
"23:23, 11 April 2020",Sfax,31,TBA,4
"23:23, 11 April 2020",Tataouine,19,TBA,1
"23:23, 11 April 2020",Bizerte,17,TBA,1
"23:23, 11 April 2020",Gafsa,13,TBA,0
"23:23, 11 April 2020",Nabeul,13,TBA,1
"23:23, 11 April 2020",Gabès,12,TBA,0
"23:23, 11 April 2020",Mahdia,11,TBA,1
"23:23, 11 April 2020",Kairouan,6,TBA,0
"23:23, 11 April 2020",Kef,5,TBA,1
"23:23, 11 April 2020",Sidi Bouzid,5,TBA,1
"23:23, 11 April 2020",Zaghouan,3,TBA,0
"23:23, 11 April 2020",Béja,3,TBA,0
"23:23, 11 April 2020",Kasserine,2,TBA,0
"23:23, 11 April 2020",Touzeur,1,TBA,0
"23:35, 11 April 2020",Tunis,159,TBA,3
"23:35, 11 April 2020",Ariana,82,TBA,3
"23:35, 11 April 2020",Ben Arous,66,TBA,1
"23:35, 11 April 2020",Médenine,63,TBA,2
"23:35, 11 April 2020",Sousse,61,TBA,4
"23:35, 11 April 2020",Kébili,40,TBA,0
"23:35, 11 April 2020",Monastir,34,TBA,0
"23:35, 11 April 2020",Manouba,34,TBA,4
"23:35, 11 April 2020",Sfax,31,TBA,5
"23:35, 11 April 2020",Tataouine,19,TBA,1
"23:35, 11 April 2020",Bizerte,17,TBA,1
"23:35, 11 April 2020",Gafsa,13,TBA,0
"23:35, 11 April 2020",Nabeul,13,TBA,1
"23:35, 11 April 2020",Gabès,12,TBA,0
"23:35, 11 April 2020",Mahdia,12,TBA,1
"23:35, 11 April 2020",Kairouan,6,TBA,0
"23:35, 11 April 2020",Kef,5,TBA,1
"23:35, 11 April 2020",Sidi Bouzid,5,TBA,1
"23:35, 11 April 2020",Zaghouan,3,TBA,0
"23:35, 11 April 2020",Béja,3,TBA,0
"23:35, 11 April 2020",Kasserine,2,TBA,0
"23:35, 11 April 2020",Touzeur,1,TBA,0
"23:38, 11 April 2020",Tunis,159,TBA,3
"23:38, 11 April 2020",Ariana,82,TBA,3
"23:38, 11 April 2020",Ben Arous,66,TBA,1
"23:38, 11 April 2020",Médenine,63,TBA,2
"23:38, 11 April 2020",Sousse,61,TBA,4
"23:38, 11 April 2020",Kébili,40,TBA,0
"23:38, 11 April 2020",Monastir,34,TBA,0
"23:38, 11 April 2020",Manouba,34,TBA,4
"23:38, 11 April 2020",Sfax,31,TBA,5
"23:38, 11 April 2020",Tataouine,19,TBA,1
"23:38, 11 April 2020",Bizerte,17,TBA,1
"23:38, 11 April 2020",Gafsa,13,TBA,0
"23:38, 11 April 2020",Nabeul,13,TBA,1
"23:38, 11 April 2020",Gabès,12,TBA,0
"10:32, 12 April 2020",Tunis,159,TBA,3
"23:38, 11 April 2020",Mahdia,12,TBA,1
"23:38, 11 April 2020",Kairouan,6,TBA,0
"23:38, 11 April 2020",Kef,5,TBA,1
"10:32, 12 April 2020",Ariana,82,TBA,3
"10:32, 12 April 2020",Ben Arous,66,TBA,1
"10:32, 12 April 2020",Médenine,63,TBA,2
"23:38, 11 April 2020",Sidi Bouzid,5,TBA,1
"23:38, 11 April 2020",Zaghouan,3,TBA,0
"10:32, 12 April 2020",Sousse,61,TBA,4
"10:32, 12 April 2020",Kébili,40,TBA,0
"23:38, 11 April 2020",Béja,3,TBA,0
"23:38, 11 April 2020",Kasserine,2,TBA,0
"23:38, 11 April 2020",Touzeur,1,TBA,0
"10:32, 12 April 2020",Monastir,34,TBA,0
"10:32, 12 April 2020",Manouba,34,TBA,4
"10:32, 12 April 2020",Sfax,31,TBA,5
"10:32, 12 April 2020",Tataouine,19,TBA,1
"10:32, 12 April 2020",Bizerte,17,TBA,1
"10:34, 12 April 2020",Tunis,159,TBA,3
"15:00, 12 April 2020",Tunis,159,TBA,3
"10:32, 12 April 2020",Gafsa,13,TBA,0
"10:32, 12 April 2020",Nabeul,13,TBA,1
"10:32, 12 April 2020",Gabès,12,TBA,0
"10:34, 12 April 2020",Ariana,82,TBA,3
"10:34, 12 April 2020",Ben Arous,66,TBA,1
"10:34, 12 April 2020",Médenine,63,TBA,2
"15:00, 12 April 2020",Ariana,82,TBA,3
"15:00, 12 April 2020",Ben Arous,66,TBA,1
"15:00, 12 April 2020",Médenine,63,TBA,2
"10:32, 12 April 2020",Mahdia,12,TBA,1
"10:32, 12 April 2020",Kairouan,6,TBA,0
"10:32, 12 April 2020",Kef,5,TBA,1
"10:34, 12 April 2020",Sousse,61,TBA,4
"10:34, 12 April 2020",Kébili,40,TBA,0
"15:00, 12 April 2020",Sousse,61,TBA,4
"15:00, 12 April 2020",Kébili,40,TBA,0
"10:32, 12 April 2020",Sidi Bouzid,5,TBA,1
"10:32, 12 April 2020",Zaghouan,3,TBA,0
"10:32, 12 April 2020",Béja,3,TBA,0
"10:34, 12 April 2020",Monastir,34,TBA,0
"10:34, 12 April 2020",Manouba,34,TBA,4
"15:00, 12 April 2020",Monastir,34,TBA,0
"15:00, 12 April 2020",Manouba,34,TBA,4
"10:32, 12 April 2020",Kasserine,2,TBA,0
"10:32, 12 April 2020",Touzeur,1,TBA,0
"10:34, 12 April 2020",Sfax,31,TBA,5
"10:34, 12 April 2020",Tataouine,19,TBA,1
"10:34, 12 April 2020",Bizerte,17,TBA,1
"15:00, 12 April 2020",Sfax,31,TBA,5
"15:00, 12 April 2020",Tataouine,19,TBA,1
"15:00, 12 April 2020",Bizerte,17,TBA,1
"10:34, 12 April 2020",Gafsa,13,TBA,0
"10:34, 12 April 2020",Nabeul,13,TBA,1
"10:34, 12 April 2020",Gabès,12,TBA,0
"15:00, 12 April 2020",Gafsa,13,TBA,0
"15:00, 12 April 2020",Nabeul,13,TBA,1
"15:00, 12 April 2020",Gabès,12,TBA,0
"10:34, 12 April 2020",Mahdia,12,TBA,1
"10:34, 12 April 2020",Kairouan,6,TBA,0
"15:00, 12 April 2020",Mahdia,12,TBA,1
"15:00, 12 April 2020",Kairouan,6,TBA,0
"10:34, 12 April 2020",Kef,5,TBA,1
"10:34, 12 April 2020",Sidi Bouzid,5,TBA,1
"10:34, 12 April 2020",Zaghouan,3,TBA,0
"15:00, 12 April 2020",Kef,5,TBA,1
"15:00, 12 April 2020",Sidi Bouzid,5,TBA,1
"15:00, 12 April 2020",Zaghouan,3,TBA,0
"10:34, 12 April 2020",Béja,3,TBA,0
"10:34, 12 April 2020",Kasserine,2,TBA,0
"15:00, 12 April 2020",Béja,3,TBA,0
"15:00, 12 April 2020",Kasserine,2,TBA,0
"10:34, 12 April 2020",Touzeur,1,TBA,0
"15:00, 12 April 2020",Touzeur,1,TBA,0
"18:29, 12 April 2020",Tunis,159,TBA,3
"18:29, 12 April 2020",Ariana,82,TBA,3
"18:29, 12 April 2020",Ben Arous,66,TBA,1
"18:29, 12 April 2020",Médenine,63,TBA,2
"18:29, 12 April 2020",Sousse,61,TBA,4
"18:29, 12 April 2020",Kébili,40,TBA,0
"18:29, 12 April 2020",Monastir,34,TBA,0
"18:29, 12 April 2020",Manouba,34,TBA,4
"18:29, 12 April 2020",Sfax,31,TBA,5
"18:29, 12 April 2020",Tataouine,19,TBA,1
"18:29, 12 April 2020",Bizerte,17,TBA,1
"18:29, 12 April 2020",Gafsa,13,TBA,0
"18:29, 12 April 2020",Nabeul,13,TBA,1
"18:29, 12 April 2020",Gabès,12,TBA,0
"18:29, 12 April 2020",Mahdia,12,TBA,1
"18:29, 12 April 2020",Kairouan,6,TBA,0
"18:29, 12 April 2020",Kef,5,TBA,1
"18:29, 12 April 2020",Sidi Bouzid,5,TBA,1
"18:29, 12 April 2020",Zaghouan,3,TBA,0
"18:29, 12 April 2020",Béja,3,TBA,0
"18:29, 12 April 2020",Kasserine,2,TBA,0
"18:29, 12 April 2020",Touzeur,1,TBA,0
"18:29, 12 April 2020",Tunis,159,TBA,3
"18:29, 12 April 2020",Ariana,82,TBA,3
"18:29, 12 April 2020",Ben Arous,66,TBA,1
"18:29, 12 April 2020",Médenine,63,TBA,2
"18:29, 12 April 2020",Sousse,61,TBA,4
"18:29, 12 April 2020",Kébili,40,TBA,0
"19:38, 12 April 2020",Tunis,167,TBA,4
"18:29, 12 April 2020",Monastir,34,TBA,0
"18:29, 12 April 2020",Manouba,34,TBA,4
"19:38, 12 April 2020",Ariana,83,TBA,4
"19:38, 12 April 2020",Ben Arous,71,TBA,2
"18:29, 12 April 2020",Sfax,31,TBA,5
"18:29, 12 April 2020",Tataouine,19,TBA,1
"19:38, 12 April 2020",Médenine,65,TBA,2
"18:29, 12 April 2020",Bizerte,17,TBA,1
"18:29, 12 April 2020",Gafsa,13,TBA,0
"19:38, 12 April 2020",Sousse,62,TBA,4
"19:38, 12 April 2020",Kébili,40,TBA,0
"18:29, 12 April 2020",Nabeul,13,TBA,1
"19:38, 12 April 2020",Mqnoubs,34,TBA,4
"19:38, 12 April 2020",Monastir,34,TBA,0
"18:29, 12 April 2020",Gabès,12,TBA,0
"18:29, 12 April 2020",Mahdia,12,TBA,1
"19:38, 12 April 2020",Sfax,31,TBA,5
"19:38, 12 April 2020",Tataouine,20,TBA,1
"18:29, 12 April 2020",Kairouan,6,TBA,0
"18:29, 12 April 2020",Kef,5,TBA,1
"19:38, 12 April 2020",Bizerte,17,TBA,1
"19:38, 12 April 2020",Gafsa,18,TBA,0
"18:29, 12 April 2020",Sidi Bouzid,5,TBA,1
"18:29, 12 April 2020",Zaghouan,3,TBA,0
"19:38, 12 April 2020",Nabeul,12,TBA,1
"19:38, 12 April 2020",Gabès,13,TBA,0
"18:29, 12 April 2020",Béja,3,TBA,0
"18:29, 12 April 2020",Kasserine,2,TBA,0
"18:29, 12 April 2020",Touzeur,1,TBA,0
"19:38, 12 April 2020",Mahdia,12,TBA,1
"19:38, 12 April 2020",Kairouan,6,TBA,0
"19:38, 12 April 2020",Kef,5,TBA,1
"19:38, 12 April 2020",Sidi Bouzid,5,TBA,1
"19:38, 12 April 2020",Zaghouan,3,TBA,0
"19:38, 12 April 2020",Béja,3,TBA,0
"19:38, 12 April 2020",Kasserine,2,TBA,0
"19:38, 12 April 2020",Touzeur,1,TBA,0
"19:38, 12 April 2020",Jandouba,1,TBA,0
"19:39, 12 April 2020",Tunis,167,TBA,4
"19:39, 12 April 2020",Ariana,83,TBA,4
"19:39, 12 April 2020",Ben Arous,71,TBA,2
"19:39, 12 April 2020",Médenine,65,TBA,2
"19:39, 12 April 2020",Sousse,62,TBA,4
"19:39, 12 April 2020",Kébili,40,TBA,0
"19:39, 12 April 2020",Manouba,34,TBA,4
"19:39, 12 April 2020",Monastir,34,TBA,0
"19:39, 12 April 2020",Sfax,31,TBA,5
"19:39, 12 April 2020",Tataouine,20,TBA,1
"19:39, 12 April 2020",Bizerte,17,TBA,1
"19:39, 12 April 2020",Gafsa,18,TBA,0
"19:39, 12 April 2020",Nabeul,12,TBA,1
"19:39, 12 April 2020",Gabès,13,TBA,0
"19:39, 12 April 2020",Mahdia,12,TBA,1
"19:39, 12 April 2020",Kairouan,6,TBA,0
"19:39, 12 April 2020",Kef,5,TBA,1
"19:39, 12 April 2020",Sidi Bouzid,5,TBA,1
"19:39, 12 April 2020",Zaghouan,3,TBA,0
"19:39, 12 April 2020",Béja,3,TBA,0
"19:39, 12 April 2020",Kasserine,2,TBA,0
"19:39, 12 April 2020",Touzeur,1,TBA,0
"19:39, 12 April 2020",Jendouba,1,TBA,0
"20:04, 12 April 2020",Tunis,167,TBA,4
"20:04, 12 April 2020",Ariana,83,TBA,4
"20:04, 12 April 2020",Ben Arous,71,TBA,2
"20:04, 12 April 2020",Médenine,65,TBA,2
"20:04, 12 April 2020",Sousse,62,TBA,4
"20:04, 12 April 2020",Kébili,40,TBA,0
"20:04, 12 April 2020",Manouba,34,TBA,4
"20:04, 12 April 2020",Monastir,34,TBA,0
"20:04, 12 April 2020",Sfax,31,TBA,5
"20:04, 12 April 2020",Tataouine,20,TBA,1
"20:04, 12 April 2020",Bizerte,17,TBA,1
"20:04, 12 April 2020",Gafsa,18,TBA,0
"20:04, 12 April 2020",Nabeul,12,TBA,1
"19:14, 13 April 2020",Tunis,173,TBA,5
"20:04, 12 April 2020",Gabès,13,TBA,0
"20:04, 12 April 2020",Mahdia,12,TBA,1
"20:04, 12 April 2020",Kairouan,6,TBA,0
"19:14, 13 April 2020",Ariana,83,TBA,4
"19:14, 13 April 2020",Ben Arous,74,TBA,2
"19:14, 13 April 2020",Médenine,65,TBA,3
"19:02, 13 April 2020",Tunis,167,TBA,4
"20:04, 12 April 2020",Kef,5,TBA,1
"20:04, 12 April 2020",Sidi Bouzid,5,TBA,1
"19:14, 13 April 2020",Sousse,64,TBA,5
"19:14, 13 April 2020",Kébili,42,TBA,0
"19:02, 13 April 2020",Ariana,83,TBA,4
"19:02, 13 April 2020",Ben Arous,71,TBA,2
"19:02, 13 April 2020",Médenine,65,TBA,2
"20:04, 12 April 2020",Zaghouan,3,TBA,0
"20:04, 12 April 2020",Béja,3,TBA,0
"19:14, 13 April 2020",Manouba,35,TBA,4
"19:14, 13 April 2020",Monastir,35,TBA,0
"19:14, 13 April 2020",Sfax,31,TBA,5
"18:58, 13 April 2020",Tunis,167,TBA,4
"19:02, 13 April 2020",Sousse,62,TBA,4
"19:02, 13 April 2020",Kébili,40,TBA,0
"20:04, 12 April 2020",Kasserine,2,TBA,0
"20:04, 12 April 2020",Touzeur,1,TBA,0
"20:04, 12 April 2020",Jendouba,1,TBA,0
"19:14, 13 April 2020",Tataouine,22,TBA,1
"19:14, 13 April 2020",Bizerte,17,TBA,1
"19:14, 13 April 2020",Gafsa,18,TBA,0
"18:58, 13 April 2020",Ariana,83,TBA,4
"18:58, 13 April 2020",Ben Arous,71,TBA,2
"19:02, 13 April 2020",Manouba,34,TBA,4
"19:02, 13 April 2020",Monastir,34,TBA,0
"19:14, 13 April 2020",Gabès,15,TBA,0
"19:14, 13 April 2020",Nabeul,12,TBA,1
"18:58, 13 April 2020",Médenine,65,TBA,2
"18:58, 13 April 2020",Sousse,62,TBA,4
"18:58, 13 April 2020",Kébili,40,TBA,0
"19:02, 13 April 2020",Sfax,31,TBA,5
"19:02, 13 April 2020",Tataouine,20,TBA,1
"19:02, 13 April 2020",Bizerte,17,TBA,1
"19:14, 13 April 2020",Mahdia,12,TBA,1
"19:14, 13 April 2020",Kairouan,6,TBA,0
"19:14, 13 April 2020",Kef,5,TBA,1
"18:58, 13 April 2020",Manouba,34,TBA,4
"18:58, 13 April 2020",Monastir,34,TBA,0
"19:02, 13 April 2020",Gafsa,18,TBA,0
"19:02, 13 April 2020",Nabeul,12,TBA,1
"19:14, 13 April 2020",Sidi Bouzid,5,TBA,1
"19:14, 13 April 2020",Zaghouan,3,TBA,0
"18:58, 13 April 2020",Sfax,31,TBA,5
"18:58, 13 April 2020",Tataouine,20,TBA,1
"18:58, 13 April 2020",Bizerte,17,TBA,1
"19:02, 13 April 2020",Gabès,13,TBA,0
"19:02, 13 April 2020",Mahdia,12,TBA,1
"19:14, 13 April 2020",Béja,3,TBA,0
"18:58, 13 April 2020",Gafsa,18,TBA,0
"18:58, 13 April 2020",Nabeul,12,TBA,1
"19:02, 13 April 2020",Kairouan,6,TBA,0
"19:02, 13 April 2020",Kef,5,TBA,1
"19:02, 13 April 2020",Sidi Bouzid,5,TBA,1
"19:14, 13 April 2020",Kasserine,2,TBA,0
"19:14, 13 April 2020",Touzeur,2,TBA,0
"19:14, 13 April 2020",Jendouba,1,TBA,0
"18:58, 13 April 2020",Gabès,13,TBA,0
"18:58, 13 April 2020",Mahdia,12,TBA,1
"19:02, 13 April 2020",Zaghouan,3,TBA,0
"19:02, 13 April 2020",Béja,3,TBA,0
"18:58, 13 April 2020",Kairouan,6,TBA,0
"18:58, 13 April 2020",Kef,5,TBA,1
"00:01, 15 April 2020",Tunis,173,TBA,5
"19:02, 13 April 2020",Kasserine,2,TBA,0
"19:02, 13 April 2020",Touzeur,1,TBA,0
"19:02, 13 April 2020",Jendouba,1,TBA,0
"18:58, 13 April 2020",Sidi Bouzid,5,TBA,1
"18:58, 13 April 2020",Zaghouan,3,TBA,0
"18:58, 13 April 2020",Béja,3,TBA,0
"00:01, 15 April 2020",Ariana,83,TBA,4
"00:01, 15 April 2020",Ben Arous,74,TBA,2
"18:58, 13 April 2020",Kasserine,2,TBA,0
"18:58, 13 April 2020",Touzeur,1,TBA,0
"00:01, 15 April 2020",Médenine,65,TBA,3
"00:01, 15 April 2020",Sousse,64,TBA,5
"18:58, 13 April 2020",Jendouba,1,TBA,0
"00:01, 15 April 2020",Kébili,42,TBA,0
"00:01, 15 April 2020",Manouba,35,TBA,4
"00:01, 15 April 2020",Monastir,35,TBA,0
"00:01, 15 April 2020",Sfax,31,TBA,5
"00:01, 15 April 2020",Tataouine,22,TBA,1
"00:01, 15 April 2020",Bizerte,17,TBA,1
"00:01, 15 April 2020",Gafsa,18,TBA,0
"00:01, 15 April 2020",Gabès,15,TBA,0
"00:01, 15 April 2020",Nabeul,12,TBA,1
"00:01, 15 April 2020",Mahdia,12,TBA,1
"00:01, 15 April 2020",Kairouan,6,TBA,0
"00:01, 15 April 2020",Kef,5,TBA,1
"00:01, 15 April 2020",Sidi Bouzid,5,TBA,1
"00:01, 15 April 2020",Zaghouan,3,TBA,0
"00:01, 15 April 2020",Béja,3,TBA,0
"00:01, 15 April 2020",Kasserine,2,TBA,0
"00:01, 15 April 2020",Touzeur,2,TBA,0
"00:01, 15 April 2020",Jendouba,1,TBA,0
"00:41, 15 April 2020",Tunis,173,TBA,5
"00:41, 15 April 2020",Ariana,83,TBA,4
"00:41, 15 April 2020",Ben Arous,74,TBA,2
"05:32, 15 April 2020",Tunis,173,TBA,5
"00:41, 15 April 2020",Médenine,65,TBA,3
"00:41, 15 April 2020",Sousse,64,TBA,5
"05:32, 15 April 2020",Ariana,83,TBA,4
"05:32, 15 April 2020",Ben Arous,74,TBA,2
"00:41, 15 April 2020",Kébili,42,TBA,0
"00:41, 15 April 2020",Manouba,35,TBA,4
"00:41, 15 April 2020",Monastir,35,TBA,0
"05:32, 15 April 2020",Médenine,65,TBA,3
"05:32, 15 April 2020",Sousse,64,TBA,5
"05:32, 15 April 2020",Kébili,42,TBA,0
"00:41, 15 April 2020",Sfax,31,TBA,5
"00:41, 15 April 2020",Tataouine,22,TBA,1
"00:41, 15 April 2020",Bizerte,17,TBA,1
"05:32, 15 April 2020",Manouba,35,TBA,4
"05:32, 15 April 2020",Monastir,35,TBA,0
"05:32, 15 April 2020",Sfax,31,TBA,5
"00:41, 15 April 2020",Gafsa,18,TBA,0
"00:41, 15 April 2020",Gabès,15,TBA,0
"05:32, 15 April 2020",Tataouine,22,TBA,1
"05:32, 15 April 2020",Bizerte,17,TBA,1
"00:41, 15 April 2020",Nabeul,12,TBA,1
"00:41, 15 April 2020",Mahdia,12,TBA,1
"00:41, 15 April 2020",Kairouan,6,TBA,0
"05:32, 15 April 2020",Gafsa,18,TBA,0
"05:32, 15 April 2020",Gabès,15,TBA,0
"00:41, 15 April 2020",Kef,5,TBA,1
"00:41, 15 April 2020",Sidi Bouzid,5,TBA,1
"05:32, 15 April 2020",Nabeul,12,TBA,1
"05:32, 15 April 2020",Mahdia,12,TBA,1
"00:41, 15 April 2020",Zaghouan,3,TBA,0
"00:41, 15 April 2020",Béja,3,TBA,0
"00:41, 15 April 2020",Kasserine,2,TBA,0
"05:32, 15 April 2020",Kairouan,6,TBA,0
"05:32, 15 April 2020",Kef,5,TBA,1
"05:32, 15 April 2020",Sidi Bouzid,5,TBA,1
"00:41, 15 April 2020",Touzeur,2,TBA,0
"00:41, 15 April 2020",Jendouba,1,TBA,0
"05:32, 15 April 2020",Zaghouan,3,TBA,0
"05:32, 15 April 2020",Béja,3,TBA,0
"05:32, 15 April 2020",Kasserine,2,TBA,0
"05:32, 15 April 2020",Touzeur,2,TBA,0
"05:32, 15 April 2020",Jendouba,1,TBA,0
"21:24, 15 April 2020",Tunis,173,TBA,5
"21:24, 15 April 2020",Ariana,83,TBA,4
"21:24, 15 April 2020",Ben Arous,74,TBA,2
"21:24, 15 April 2020",Médenine,65,TBA,3
"21:24, 15 April 2020",Sousse,64,TBA,5
"21:24, 15 April 2020",Kébili,42,TBA,0
